股票代码,形态,买入日期,买入价,股数,买入金额,卖出日期,卖出价,卖出原因,盈亏,收益率
002511.SZ,黑三鸦,2023-02-03,12.70,700,8890.00,2023-02-17,12.51,持仓10天到期,-133.00,-1.50%
601838.SH,黑三鸦,2023-02-08,14.07,700,9849.00,2023-02-22,14.34,持仓10天到期,189.00,1.92%
002007.SZ,黑三鸦,2023-02-20,21.72,400,8688.00,2023-03-06,22.54,持仓10天到期,328.00,3.78%
002311.SZ,黑三鸦,2023-02-20,60.63,100,6063.00,2023-03-06,63.56,持仓10天到期,293.00,4.83%
600000.SH,黑三鸦,2023-02-21,7.26,1300,9438.00,2023-03-07,7.31,持仓10天到期,65.00,0.69%
600233.SH,黑三鸦,2023-02-21,18.10,500,9050.00,2023-03-07,17.70,持仓10天到期,-200.00,-2.21%
600919.SH,黑三鸦,2023-02-21,7.30,1300,9490.00,2023-03-07,7.27,持仓10天到期,-39.00,-0.41%
601838.SH,黑三鸦,2023-02-21,14.47,600,8682.00,2023-03-07,14.44,持仓10天到期,-18.00,-0.21%
002352.SZ,黑三鸦,2023-03-09,53.31,100,5331.00,2023-03-23,54.00,持仓10天到期,69.00,1.29%
300759.SZ,黑三鸦,2023-03-21,53.92,100,5392.00,2023-03-27,59.31,止盈(10.0%),539.20,10.00%
603259.SH,黑三鸦,2023-03-21,75.06,100,7506.00,2023-03-27,82.57,止盈(10.0%),750.60,10.00%
601009.SH,黑三鸦,2023-03-14,9.53,1000,9530.00,2023-03-28,9.09,持仓10天到期,-440.00,-4.62%
600383.SH,黑三鸦,2023-03-15,8.73,1100,9603.00,2023-03-29,8.38,持仓10天到期,-385.00,-4.01%
600741.SH,黑三鸦,2023-03-15,17.15,500,8575.00,2023-03-29,16.63,持仓10天到期,-260.00,-3.03%
600221.SH,黑三鸦,2023-03-20,1.69,5900,9971.00,2023-04-03,1.81,持仓10天到期,708.00,7.10%
600760.SH,黑三鸦,2023-03-20,53.89,100,5389.00,2023-04-03,54.37,持仓10天到期,48.00,0.89%
300450.SZ,黑三鸦,2023-03-21,38.50,200,7700.00,2023-04-04,38.77,持仓10天到期,54.00,0.70%
600660.SH,黑三鸦,2023-03-21,34.52,200,6904.00,2023-04-04,33.92,持仓10天到期,-120.00,-1.74%
601877.SH,黑三鸦,2023-03-21,27.18,300,8154.00,2023-04-04,27.51,持仓10天到期,99.00,1.21%
000002.SZ,黑三鸦,2023-03-30,15.40,600,9240.00,2023-04-14,15.81,持仓10天到期,246.00,2.66%
600900.SH,黑三鸦,2023-03-30,20.65,400,8260.00,2023-04-14,21.21,持仓10天到期,224.00,2.71%
000009.SZ,黑三鸦,2023-03-31,11.38,800,9104.00,2023-04-17,11.74,持仓10天到期,288.00,3.16%
000656.SZ,黑三鸦,2023-03-31,1.61,6200,9982.00,2023-04-17,1.53,持仓10天到期,-496.00,-4.97%
002146.SZ,黑三鸦,2023-03-31,1.85,5400,9990.00,2023-04-17,1.82,持仓10天到期,-162.00,-1.62%
600383.SH,黑三鸦,2023-03-31,8.46,1100,9306.00,2023-04-17,8.89,持仓10天到期,473.00,5.08%
601155.SH,黑三鸦,2023-03-31,16.43,600,9858.00,2023-04-17,16.91,持仓10天到期,288.00,2.92%
300122.SZ,黑三鸦,2023-04-24,82.83,100,8283.00,2023-05-08,77.03,止损(7.0%),-579.81,-7.00%
000100.SZ,黑三鸦,2023-04-27,4.00,2500,10000.00,2023-05-08,3.60,跳空止损(7.0%),-1000.00,-10.00%
002146.SZ,黑三鸦,2023-04-24,1.64,6000,9840.00,2023-05-11,1.74,持仓10天到期,600.00,6.10%
000792.SZ,黑三鸦,2023-04-25,21.09,400,8436.00,2023-05-12,19.92,持仓10天到期,-468.00,-5.55%
688599.SH,黑三鸦,2023-04-25,46.98,200,9396.00,2023-05-12,44.29,持仓10天到期,-538.00,-5.73%
600009.SH,黑三鸦,2023-04-26,52.20,100,5220.00,2023-05-15,49.96,持仓10天到期,-224.00,-4.29%
000959.SZ,黑三鸦,2023-04-27,3.64,2700,9828.00,2023-05-16,3.78,持仓10天到期,378.00,3.85%
002241.SZ,黑三鸦,2023-04-27,17.40,500,8700.00,2023-05-16,18.82,持仓10天到期,710.00,8.16%
688187.SH,黑三鸦,2023-04-27,46.06,200,9212.00,2023-05-16,46.50,持仓10天到期,88.00,0.96%
688223.SH,黑三鸦,2023-05-11,11.48,800,9184.00,2023-05-22,12.63,止盈(10.0%),918.40,10.00%
601012.SH,黑三鸦,2023-05-09,33.70,200,6740.00,2023-05-23,32.90,持仓10天到期,-160.00,-2.37%
000656.SZ,黑三鸦,2023-05-24,1.01,9900,9999.00,2023-05-25,0.86,跳空止损(7.0%),-1485.00,-14.85%
002146.SZ,黑三鸦,2023-05-24,1.43,6900,9867.00,2023-05-25,1.20,跳空止损(7.0%),-1587.00,-16.08%
600009.SH,黑三鸦,2023-05-16,49.95,200,9990.00,2023-05-30,46.45,止损(7.0%),-699.30,-7.00%
603160.SH,黑三鸦,2023-05-16,49.37,200,9874.00,2023-05-30,50.92,持仓10天到期,310.00,3.14%
300059.SZ,黑三鸦,2023-05-29,15.10,600,9060.00,2023-05-31,14.04,止损(7.0%),-634.20,-7.00%
300122.SZ,黑三鸦,2023-06-02,71.45,100,7145.00,2023-06-08,66.45,止损(7.0%),-500.15,-7.00%
000402.SZ,黑三鸦,2023-05-26,4.58,2100,9618.00,2023-06-09,4.83,持仓10天到期,525.00,5.46%
300498.SZ,黑三鸦,2023-05-29,17.24,500,8620.00,2023-06-12,16.88,持仓10天到期,-180.00,-2.09%
600104.SH,黑三鸦,2023-05-29,13.24,700,9268.00,2023-06-12,13.87,持仓10天到期,441.00,4.76%
601600.SH,黑三鸦,2023-05-29,5.29,1800,9522.00,2023-06-12,5.60,持仓10天到期,558.00,5.86%
600160.SH,黑三鸦,2023-05-31,13.38,700,9366.00,2023-06-14,13.92,持仓10天到期,378.00,4.04%
601633.SH,黑三鸦,2023-05-31,22.91,400,9164.00,2023-06-14,24.13,持仓10天到期,488.00,5.33%
002001.SZ,黑三鸦,2023-06-02,15.20,600,9120.00,2023-06-16,15.54,持仓10天到期,204.00,2.24%
300059.SZ,黑三鸦,2023-06-02,14.20,700,9940.00,2023-06-16,14.86,持仓10天到期,462.00,4.65%
601456.SH,黑三鸦,2023-06-02,9.59,1000,9590.00,2023-06-16,9.33,持仓10天到期,-260.00,-2.71%
603288.SH,黑三鸦,2023-06-02,50.40,100,5040.00,2023-06-16,51.05,持仓10天到期,65.00,1.29%
300347.SZ,黑三鸦,2023-06-09,73.10,100,7310.00,2023-06-21,67.98,止损(7.0%),-511.70,-7.00%
600233.SH,黑三鸦,2023-06-09,15.00,600,9000.00,2023-06-27,14.47,持仓10天到期,-318.00,-3.53%
601615.SH,黑三鸦,2023-06-09,16.77,500,8385.00,2023-06-27,16.55,持仓10天到期,-110.00,-1.31%
601117.SH,黑三鸦,2023-06-15,8.05,1200,9660.00,2023-07-03,8.43,持仓10天到期,456.00,4.72%
002120.SZ,黑三鸦,2023-06-28,9.55,1000,9550.00,2023-07-12,9.52,持仓10天到期,-30.00,-0.31%
601198.SH,黑三鸦,2023-06-28,7.87,1200,9444.00,2023-07-12,8.10,持仓10天到期,276.00,2.92%
601236.SH,黑三鸦,2023-06-28,7.44,1300,9672.00,2023-07-12,7.46,持仓10天到期,26.00,0.27%
300347.SZ,黑三鸦,2023-07-03,65.01,100,6501.00,2023-07-17,63.53,持仓10天到期,-148.00,-2.28%
300015.SZ,黑三鸦,2023-07-11,18.57,500,9285.00,2023-07-25,19.87,持仓10天到期,650.00,7.00%
300122.SZ,黑三鸦,2023-07-11,44.10,200,8820.00,2023-07-25,46.69,持仓10天到期,518.00,5.87%
300661.SZ,黑三鸦,2023-07-11,85.00,100,8500.00,2023-07-25,85.45,持仓10天到期,45.00,0.53%
603288.SH,黑三鸦,2023-07-11,46.00,200,9200.00,2023-07-25,44.88,持仓10天到期,-224.00,-2.43%
300003.SZ,黑三鸦,2023-07-12,22.09,400,8836.00,2023-07-26,21.51,持仓10天到期,-232.00,-2.63%
688122.SH,黑三鸦,2023-07-12,53.65,100,5365.00,2023-07-26,52.89,持仓10天到期,-76.00,-1.42%
600570.SH,黑三鸦,2023-07-14,37.39,200,7478.00,2023-07-28,39.89,持仓10天到期,500.00,6.69%
000739.SZ,黑三鸦,2023-07-20,16.67,500,8335.00,2023-08-03,17.91,持仓10天到期,620.00,7.44%
300003.SZ,黑三鸦,2023-07-20,21.12,400,8448.00,2023-08-03,20.08,持仓10天到期,-416.00,-4.92%
600926.SH,黑三鸦,2023-07-20,11.34,800,9072.00,2023-08-03,12.06,持仓10天到期,576.00,6.35%
600760.SH,黑三鸦,2023-07-25,44.68,200,8936.00,2023-08-08,42.72,持仓10天到期,-392.00,-4.39%
600732.SH,黑三鸦,2023-08-02,25.37,300,7611.00,2023-08-14,23.59,止损(7.0%),-532.77,-7.00%
002602.SZ,黑三鸦,2023-08-01,5.29,1800,9522.00,2023-08-15,5.48,持仓10天到期,342.00,3.59%
600089.SH,黑三鸦,2023-08-21,15.08,600,9048.00,2023-09-04,15.03,持仓10天到期,-30.00,-0.33%
300661.SZ,黑三鸦,2023-08-24,73.05,100,7305.00,2023-09-04,80.36,止盈(10.0%),730.50,10.00%
601012.SH,黑三鸦,2023-08-25,25.56,300,7668.00,2023-09-05,28.12,止盈(10.0%),766.80,10.00%
002311.SZ,黑三鸦,2023-08-24,45.02,200,9004.00,2023-09-07,47.26,持仓10天到期,448.00,4.98%
002032.SZ,黑三鸦,2023-08-25,47.41,200,9482.00,2023-09-08,47.69,持仓10天到期,56.00,0.59%
002129.SZ,黑三鸦,2023-08-25,24.77,400,9908.00,2023-09-08,24.41,持仓10天到期,-144.00,-1.45%
300142.SZ,黑三鸦,2023-08-25,23.20,400,9280.00,2023-09-08,23.02,持仓10天到期,-72.00,-0.78%
300274.SZ,黑三鸦,2023-08-25,98.70,100,9870.00,2023-09-08,93.14,持仓10天到期,-556.00,-5.63%
